Topic,Words
Topic 72,"terrorist: 0.07547, islamic: 0.06392, terrorism: 0.06167, terror: 0.04238, radical: 0.02559, soleimani: 0.0212, attack: 0.02119, france: 0.01793, islam: 0.01297, kingdom: 0.01279"
Topic 73,"donald: 0.0446, proclaim: 0.01286, trump: 0.01204, lying: 0.01067, mitt: 0.01008, step: 0.01004, october: 0.00898, birther: 0.00851, rebuke: 0.00851, defying: 0.00851"
Topic 74,"investment: 0.03725, financial: 0.01953, sometime: 0.01766, rich: 0.01718, richer: 0.01566, money: 0.01527, donald: 0.01373, bulli: 0.0134, earn: 0.01265, profit: 0.01211"
Topic 75,"msnbc: 0.07757, lawrence: 0.05906, toure: 0.04686, rating: 0.03822, psycho: 0.03438, racist: 0.03331, scarborough: 0.02852, donnell: 0.02037, commentator: 0.01998, dumbest: 0.01913"
Topic 76,"morning: 0.16784, enjoy: 0.02692, espn: 0.02104, friend: 0.02053, tomorrow: 0.01601, finish: 0.01245, nice: 0.0114, pois: 0.01104, dawn: 0.01104, word: 0.01094"
Topic 77,"joan: 0.27396, river: 0.23145, tribute: 0.0282, apprentice: 0.0215, funeral: 0.02041, boardroom: 0.01823, celebrity: 0.01806, woman: 0.01687, miss: 0.01574, seeing: 0.01439"
Topic 78,"book: 0.0619, author: 0.02531, wrote: 0.02231, reading: 0.02019, bestseller: 0.01905, read: 0.01881, recommend: 0.01597, written: 0.01518, hanson: 0.01428, victor: 0.01356"
Topic 79,"comey: 0.08946, mccabe: 0.07183, jame: 0.05556, leak: 0.03107, director: 0.02425, andrew: 0.02273, lover: 0.02017, lisa: 0.0194, firing: 0.0194, memo: 0.01567"
Topic 80,"reserve: 0.07831, inflation: 0.06249, rate: 0.04476, powell: 0.04296, tightening: 0.03875, quantitative: 0.03806, federal: 0.03315, interest: 0.02866, easing: 0.02659, euro: 0.01994"
Topic 81,"letterman: 0.27649, david: 0.0581, late: 0.04115, dave: 0.01781, appearance: 0.01747, show: 0.01706, guest: 0.01352, night: 0.01315, leno: 0.01314, awesome: 0.01306"
Topic 82,"loser: 0.12851, hater: 0.11211, hate: 0.0382, deadspin: 0.02552, despise: 0.01862, fuck: 0.01801, lazy: 0.01659, handsome: 0.01659, asshole: 0.01556, wear: 0.01514"
Topic 83,"reagan: 0.22663, ronald: 0.1378, since: 0.01222, actor: 0.01215, existence: 0.01181, welfare: 0.00926, hollywood: 0.00926, feel: 0.00915, heat: 0.00906, eliminate: 0.00887"
Topic 84,"pennsylvania: 0.13046, rhode: 0.05569, johnstown: 0.0339, island: 0.03381, erie: 0.03182, hershey: 0.02459, philadelphia: 0.02415, scranton: 0.01639, penn: 0.01616, landing: 0.01545"
Topic 85,"president: 0.01981, system: 0.01981, answer: 0.01711, rigg: 0.01698, plot: 0.01422, term: 0.01256, pursuing: 0.00993, trailer: 0.0096, acting: 0.00959, betrayal: 0.00932"
Topic 86,"golf: 0.08918, golfer: 0.061, course: 0.03843, play: 0.01802, championship: 0.01776, colt: 0.0139, club: 0.01371, playing: 0.01352, neck: 0.01349, natalie: 0.01252"
Topic 87,"apologize: 0.14114, apology: 0.09839, apologizing: 0.02873, offend: 0.02668, apologie: 0.01724, espn: 0.01285, bravo: 0.01126, incorrect: 0.01104, video: 0.01101, resignation: 0.01067"
Topic 88,"georgia: 0.09884, signature: 0.05714, verification: 0.05347, fulton: 0.03838, decree: 0.02744, consent: 0.02633, secretary: 0.02303, county: 0.02108, recount: 0.02072, envelope: 0.01813"
Topic 89,"newsmax: 0.19563, media: 0.0416, grab: 0.01158, foot: 0.01106, donald: 0.01013, article: 0.01013, brand: 0.00938, authority: 0.00874, effect: 0.0086, kerry: 0.00821"
Topic 90,"usdot: 0.10835, transit: 0.05956, improvement: 0.03942, airport: 0.03796, area: 0.03494, funding: 0.02962, region: 0.02793, fund: 0.02788, improve: 0.02516, receive: 0.02146"
Topic 91,"prayer: 0.08351, familie: 0.06231, condolence: 0.05999, victim: 0.05914, thought: 0.03027, praying: 0.02906, pray: 0.02882, deepest: 0.02816, shooting: 0.02715, tragedy: 0.02695"
Topic 92,"mida: 0.24241, touch: 0.20329, brand: 0.03406, entrepreneur: 0.03311, valu: 0.01985, acquire: 0.01401, asset: 0.01343, door: 0.01203, busines: 0.01182, music: 0.01051"
Topic 93,"great: 0.03225, melissa: 0.0239, reynold: 0.0239, thom: 0.02311, tate: 0.0213, jesse: 0.02082, allen: 0.02038, heather: 0.01997, sight: 0.01781, lindsey: 0.0167"
Topic 94,"conference: 0.11358, pres: 0.0552, achiever: 0.04657, meeting: 0.03055, jose: 0.02428, presentation: 0.02138, meet: 0.01783, london: 0.01693, philadelphia: 0.01588, october: 0.01472"
Topic 95,"alway: 0.09999, inspire: 0.01981, smile: 0.01766, music: 0.0159, seldom: 0.0148, monday: 0.01394, comeback: 0.01268, dodge: 0.01096, birther: 0.01096, woody: 0.0106"
Topic 96,"pelosi: 0.07893, nancy: 0.0519, impeachment: 0.03564, speaker: 0.02992, inquiry: 0.026, impeach: 0.01617, slight: 0.01357, district: 0.01176, impeaching: 0.01099, sham: 0.01048"
Topic 97,"omarosa: 0.34725, ilhan: 0.03722, omar: 0.03394, firework: 0.02918, merger: 0.02005, strategic: 0.01752, boardroom: 0.01661, presentation: 0.01639, meltdown: 0.01615, wacky: 0.01592"
Topic 98,"interview: 0.06497, gardner: 0.0163, subvert: 0.01583, engineer: 0.01383, contrary: 0.01293, karen: 0.01239, watch: 0.0112, losse: 0.01092, sound: 0.00983, google: 0.00975"
Topic 99,"president: 0.10298, victoria: 0.05275, kyle: 0.0512, presidency: 0.04242, republic: 0.03286, asap: 0.03206, endorse: 0.02636, gang: 0.02527, progres: 0.02146, agre: 0.02105"
Topic 100,"louisiana: 0.07945, edward: 0.04351, kentucky: 0.04099, governor: 0.03928, runoff: 0.03594, insurance: 0.03106, eddie: 0.02588, kennedy: 0.02026, john: 0.01855, auto: 0.01783"
Topic 101,"syria: 0.13531, assad: 0.04298, syrian: 0.03932, rebel: 0.03425, chemical: 0.03199, attack: 0.02581, weapon: 0.0189, territory: 0.01664, iraq: 0.01533, civilian: 0.01486"
Topic 102,"stock: 0.13206, market: 0.11247, high: 0.02966, record: 0.02482, nasdaq: 0.01542, crosse: 0.01505, increase: 0.01474, yesterday: 0.01144, investor: 0.01065, another: 0.01055"
Topic 103,"charity: 0.1536, rais: 0.08408, million: 0.03221, money: 0.0219, offer: 0.02074, donate: 0.01683, raising: 0.01563, accept: 0.01524, donating: 0.01516, nrsc: 0.01488"
Topic 104,"honor: 0.06228, academy: 0.03128, award: 0.02548, tribute: 0.02161, receiving: 0.01932, host: 0.0182, heroe: 0.01773, hosting: 0.0158, eagle: 0.01564, association: 0.01544"
