Topic,Words
Topic 56,"party: 0.0228, democrat: 0.02187, republican: 0.02089, stick: 0.01659, platform: 0.01333, democratic: 0.01181, democracy: 0.01172, elsewhere: 0.01113, convention: 0.00938, horowitz: 0.00919"
Topic 57,"collusion: 0.05983, russian: 0.04359, russia: 0.03644, hoax: 0.02083, evidence: 0.01573, probe: 0.01467, campaign: 0.01428, committee: 0.01404, intelligence: 0.01341, excuse: 0.01283"
Topic 58,"crook: 0.08315, hillary: 0.05355, clinton: 0.03419, judgement: 0.02334, temperament: 0.01877, husband: 0.0121, bernie: 0.01009, question: 0.00844, judgment: 0.00799, misrepresent: 0.00698"
Topic 59,"ohio: 0.15193, cincinnati: 0.07169, dayton: 0.04614, columbu: 0.04614, toledo: 0.04292, cleveland: 0.03443, join: 0.02495, springfield: 0.02146, wilmington: 0.0161, paso: 0.01275"
Topic 60,"ebola: 0.19244, africa: 0.06027, flight: 0.03886, infect: 0.03426, west: 0.02793, patient: 0.02484, travel: 0.01662, outbreak: 0.01622, flew: 0.01547, soldier: 0.01381"
Topic 61,"make: 0.05925, america: 0.05208, great: 0.01883, belong: 0.01418, safe: 0.01316, ruin: 0.01201, mandat: 0.01061, carrillo: 0.01061, irma: 0.01002, vehicle: 0.00935"
Topic 62,"loser: 0.11827, hater: 0.10007, hate: 0.03461, follow: 0.01536, fuck: 0.01454, waste: 0.01393, deadspin: 0.01373, lazy: 0.01339, handsome: 0.01339, russell: 0.01255"
Topic 63,"true: 0.43401, fucking: 0.04204, given: 0.01189, good: 0.00263, great: 0.00149, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05"
Topic 64,"vaccine: 0.17913, dose: 0.03326, therapeutic: 0.02453, moderna: 0.02449, distribution: 0.02236, vaccination: 0.02236, pfizer: 0.02181, warp: 0.02131, development: 0.02046, miracle: 0.01576"
Topic 65,"romney: 0.19515, mitt: 0.10124, steven: 0.0296, stuart: 0.0286, chok: 0.02249, strategist: 0.01648, fail: 0.01292, switching: 0.01062, candidate: 0.00977, telling: 0.00968"
Topic 66,"letterman: 0.23681, fallon: 0.06022, david: 0.05022, late: 0.0449, jimmy: 0.04194, show: 0.01679, dave: 0.01551, appearance: 0.01518, tonight: 0.015, night: 0.01481"
Topic 67,"msnbc: 0.06031, lawrence: 0.05263, psycho: 0.04429, toure: 0.04182, scarborough: 0.03998, rating: 0.03771, mika: 0.02677, racist: 0.02537, donnell: 0.02181, joke: 0.01831"
Topic 68,"apprentice: 0.14084, original: 0.01593, season: 0.01517, wait: 0.01383, casting: 0.0138, network: 0.01061, begging: 0.01057, penn: 0.01026, show: 0.01024, career: 0.01014"
Topic 69,"mexico: 0.0932, mexican: 0.05828, manuel: 0.02697, marine: 0.02611, usmc: 0.02184, jail: 0.0204, univision: 0.02019, andre: 0.01988, deserter: 0.01942, cartel: 0.01615"
Topic 70,"tower: 0.13436, atrium: 0.03935, mumbai: 0.02684, avenue: 0.02082, building: 0.01887, derek: 0.01811, fifth: 0.01725, skyscraper: 0.01655, landmark: 0.0162, jeter: 0.0162"
Topic 71,"reserve: 0.069, inflation: 0.05646, powell: 0.04497, rate: 0.04369, tightening: 0.03508, quantitative: 0.03447, federal: 0.02901, interest: 0.02573, easing: 0.02411, euro: 0.01808"
Topic 72,"morning: 0.16293, enjoy: 0.02525, friend: 0.02085, espn: 0.01995, tomorrow: 0.01668, hello: 0.0126, television: 0.01202, finish: 0.01175, nice: 0.01069, dawn: 0.0105"
Topic 73,"hurricane: 0.06598, fema: 0.05242, evacuation: 0.03316, local: 0.03311, florence: 0.03296, shelter: 0.0311, flooding: 0.03088, harvey: 0.02499, storm: 0.02246, responder: 0.02192"
Topic 74,"wisconsin: 0.16682, milwaukee: 0.04131, foxconn: 0.03048, tiffany: 0.02494, green: 0.02348, advocate: 0.01582, madison: 0.01449, april: 0.0138, plant: 0.01247, maga: 0.01149"
Topic 75,"reagan: 0.22286, ronald: 0.13168, actor: 0.01132, since: 0.01128, existence: 0.01103, hollywood: 0.00863, welfare: 0.00863, feel: 0.00849, heat: 0.00845, eliminate: 0.00827"
Topic 76,"arizona: 0.15969, phoenix: 0.08749, johnny: 0.02979, mesa: 0.02721, ticket: 0.01909, join: 0.01267, mogul: 0.01225, wednesday: 0.01164, denver: 0.01078, facility: 0.01018"
Topic 77,"prayer: 0.10735, pray: 0.0937, praying: 0.08187, graham: 0.03865, franklin: 0.03783, faith: 0.0192, tuning: 0.01759, breakfast: 0.01589, answering: 0.01562, pastor: 0.0135"
Topic 78,"fight: 0.04367, battle: 0.03573, weak: 0.02753, hope: 0.02612, possibility: 0.02259, punch: 0.01985, losing: 0.0181, sometime: 0.01792, strength: 0.01728, knockout: 0.01714"
Topic 79,"prayer: 0.08396, familie: 0.06747, condolence: 0.06598, victim: 0.06024, deepest: 0.03902, thought: 0.03278, tragedy: 0.02716, shooting: 0.02601, praying: 0.02561, pray: 0.02537"
Topic 80,"book: 0.06046, reading: 0.02517, author: 0.02436, wrote: 0.02143, bestseller: 0.01838, read: 0.01703, written: 0.01664, recommend: 0.01537, hanson: 0.01379, victor: 0.01308"
